id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
66999,3.435240274620137,21,507,494,261,222,88,45,36,23,1748,1.0,51
67000,,0,4,7,4,2,6,2,2,0,30,2.0,3
67001,,1,1,2,2,0,0,0,0,0,6,3.0,0
67002,3.223229890717477,0,17,23,17,24,11,7,3,2,106,4.0,2
67003,3.5291146126227075,110,599,353,185,111,67,20,31,24,1600,5.0,74
67004,,1,23,0,4,0,0,0,0,0,28,6.0,0
67005,3.64,2,13,18,14,8,0,1,0,0,57,7.0,1
67006,3.1690835226440033,16,54,54,37,28,17,6,7,13,260,8.0,28
67007,,0,1,2,1,0,0,0,1,0,5,10.0,0
67008,3.200437243070212,59,131,51,42,62,17,5,19,2,461,12.0,73
67009,3.852796790197997,142,101,28,9,14,2,1,0,0,307,13.0,10
67010,3.4775699216755793,59,166,42,31,38,2,7,15,1,390,14.0,29
67011,3.3288196086865787,28,94,37,38,52,19,7,19,5,348,15.0,49
67012,3.230898519718258,22,115,17,12,82,4,0,24,2,321,16.0,43
67013,3.0433556501967023,12,118,14,7,104,2,3,56,2,357,17.0,39
67014,3.4616533841466524,6,97,74,47,59,16,4,4,2,321,18.0,12
67015,3.6514575569649277,7,96,15,8,23,2,0,3,0,164,19.0,10
67016,3.472605021128511,1,47,31,28,18,10,7,2,2,149,20.0,3
67017,3.2967632736693098,20,96,13,8,86,0,2,13,0,253,21.0,15
67018,3.9272032715878207,88,100,14,2,3,2,0,0,1,219,22.0,9
67019,3.8980891746447304,77,72,17,7,2,1,0,0,0,180,23.0,4
67020,3.912986927805487,14,80,30,2,2,0,0,0,0,130,24.0,2
67021,3.7769750793543593,15,87,18,7,6,0,0,1,0,134,25.0,0
67022,3.91,0,28,12,0,0,0,0,0,0,40,26.0,0
67023,3.4860042668059905,1,16,25,53,0,4,0,0,0,99,27.0,0
67024,3.3983458646616542,7,63,65,55,47,13,4,7,1,266,29.0,4
67025,3.441503423423423,13,161,125,99,83,35,13,10,4,555,30.0,12
67026,3.5933979635633424,7,77,59,36,31,10,4,2,0,226,31.0,0
67027,3.565830508474576,16,110,74,37,26,12,4,5,1,295,32.0,10
67028,3.5999941154025668,9,164,133,61,32,6,8,2,2,421,33.0,4
67029,3.497315821445723,219,1343,1193,589,544,217,96,92,36,4420,36.0,91
67030,3.45258064516129,3,20,24,26,12,1,2,1,2,93,37.0,2
67031,3.2002827763496153,0,38,101,89,77,26,15,18,7,389,38.0,18
67032,3.519554390563565,128,140,171,171,83,35,4,6,6,763,39.0,19
67033,3.181388888888888,15,114,108,80,83,31,38,19,14,540,40.0,38
67034,3.494450695337126,151,590,347,185,180,90,38,38,19,1695,41.0,57
67035,3.470008640424332,38,252,189,112,86,34,19,16,7,778,42.0,25
67036,3.11,0,3,3,3,1,1,1,2,1,15,43.0,0
67037,3.3398046723236336,60,194,223,154,115,67,50,21,21,932,44.0,27
67038,3.2740787120071553,24,121,155,88,59,24,18,18,7,559,45.0,45
67039,,0,2,1,2,1,0,0,0,0,6,46.0,0
67040,3.0766489361702125,1,26,73,80,86,38,30,22,8,376,47.0,12
67041,3.345454545479339,11,43,66,55,29,9,4,4,2,242,48.0,19
67042,3.52,5,18,21,0,3,2,2,2,2,55,49.0,0
67043,3.8337593984962406,20,69,31,6,3,2,1,0,0,133,50.0,1
67044,2.94,0,3,4,4,4,5,2,1,1,27,51.0,3
67045,3.5961240310542637,3,55,32,23,7,1,2,0,2,129,52.0,4
67046,3.3954705883000003,9,27,64,26,19,9,4,3,2,170,53.0,7
67047,3.402909548322047,17,267,168,123,92,36,32,22,10,797,54.0,30
67048,3.3881718097074898,1,39,59,37,25,7,0,2,1,183,55.0,12
67049,3.431428571428572,0,8,20,6,7,2,1,1,1,50,56.0,4
67050,3.12,0,3,5,13,9,4,1,1,0,38,57.0,2
67051,,0,0,4,3,4,0,1,0,0,16,58.0,4
67052,3.3586478758169935,7,18,11,11,11,5,4,3,1,72,59.0,1
67053,,0,3,2,3,1,3,2,1,0,16,60.0,1
67054,3.3066067298484128,2,57,44,36,24,12,4,11,4,202,61.0,8
67055,,12,73,12,7,4,2,0,0,2,114,62.0,2
67056,,2,35,12,4,1,0,0,0,0,54,63.0,0
67057,3.647583732057416,3,39,22,8,13,1,0,0,0,88,65.0,2
